time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.008568,1.2378895178590927,0.01860975717533088,-2.3711585847050105,0.6436932216510278,0.4470671917047761,-0.10299688564169242,1.107775746906556,0.5222199849583561,0.031193863597306942
7.024567,0.7494402642914708,0.16506050360770924,-2.047707838272633,0.6551302328366956,0.4462054788949306,-0.12796389585557208,1.1141481537179678,0.5265470214954325,0.029850898310474785
7.036788,0.37609236595295775,0.18591260526919823,-1.6677557366111464,0.6642432140765201,0.4494238938367111,-0.1470654012309584,1.121066016736996,0.5313277575067219,0.02872748978606935
7.045891,0.09835703228353432,0.27267727159977595,-1.4293910702805683,0.6707183504525597,0.4539807105115603,-0.1612063076309368,1.1282539749782927,0.5363391849333718,0.02762790273163097
7.060847,0.08576508906264545,0.379385328378885,-1.4822830135014569,0.6740429177182015,0.45906362444981474,-0.17329194633604617,1.135432103651815,0.5413399759781802,0.026336789953942723
7.07199,0.13818431233132025,0.5083045516475599,-1.6274637902327829,0.6769538104247727,0.4649362281592995,-0.1861977607109649,1.142593022851803,0.5463473628681627,0.024870976699734593
7.073116,0.15200632268332562,0.5908265619995655,-1.6864417798807771,0.6804618180892416,0.47217759285575184,-0.20049962686451112,1.1497979202316015,0.5514324940991545,0.023279548046105984
7.081882,0.19201373612955278,0.5177339754457927,-1.6097343664345487,0.6844632212369229,0.48060532143014983,-0.2150424221219858,1.1571007742082782,0.5566567347804081,0.021602726476469557
7.092056,0.2607580691447059,0.2038783084609493,-1.2976900334193933,0.6901870904359204,0.48961469035798444,-0.22749256297171486,1.1646765487302426,0.5621927901197482,0.020013639440696313
7.102127,0.2841120813122566,-0.20146767937149895,-0.8159360212518466,0.6984618329927134,0.4973156938106458,-0.2349376934849206,1.1726382077133777,0.5681284065171076,0.01863949516466677
7.110005,0.2752818533379222,-0.6214979073458313,-0.24776624922618184,0.7092097186252576,0.5031655965134091,-0.23528585687367462,1.1810756100902602,0.5745121700168442,0.01760584983926312
7.119952,0.2659646612332076,-0.9637150994505472,0.2710165586691049,0.7214493217561272,0.5063594932222948,-0.22832217519843992,1.1898972698917145,0.5812098668070422,0.016873890918780384
7.133956,0.2916872982317277,-1.1520924624520366,0.6061391956676241,0.7338902606597045,0.5063968046179103,-0.21583027843086683,1.1988935313626807,0.5879739868788227,0.016290181887368405
